,word,frequency
894,어요,49
895,해야,49
896,라지,49
897,김가네,49
898,적네요,48
899,버렸네요,48
900,아예,48
901,짜요,48
902,넉넉히,48
903,빼고는,48
904,아니네요,48
905,용기,48
906,아닌가요,48
907,따뜻한,48
908,먹고싶을,48
909,그렇게,48
910,잇,48
911,쉬,48
912,튀긴,48
913,갑자기,48
914,염,48
915,역쉬,48
916,몬스터,48
917,즐겨,48
918,장,47
919,기,47
920,필요,47
921,땡길,47
922,부탁드렸는데,47
923,같아,47
924,고,47
925,많아,47
926,짐해,47
927,땡겨서,47
928,바삭바삭하고,47
929,엇습,47
930,국밥,47
931,추억,47
932,고소하고,47
933,고객,47
934,생선,46
935,싶네요,46
936,그거,46
937,만해,46
938,빠르구요,46
939,자장면,46
940,식,46
941,나름,46
942,뒤,46
943,센스,46
944,하시고,46
945,짜서,46
946,보내주셔서,46
947,옹,46
948,잇게잘,46
949,양배추,46
950,링,46
951,있으면,45
952,골고루,45
953,부탁드려요,45
954,찍었는데,45
955,시키고,45
956,찐,45
957,아닌데,45
958,마세요,45
959,곱니다,45
960,말랭이,45
961,이서,45
962,더욱,45
963,라면,45
964,응대,45
965,있게,45
966,프라이,45
967,진짜루,45
968,가득,44
969,오오오,44
970,녹아서,44
971,둘이서,44
972,중독,44
973,먹었던,44
974,아쉬운,44
975,보면,44
976,채소,44
977,부모님,44
978,가져다,44
979,보세요,44
980,준비,44
981,나와서,44
982,라이,44
983,밍밍,44
984,다식,44
985,절대,44
986,탄산,44
987,계란찜,44
988,방,44
989,이점,44
990,있음,43
991,느끼하지,43
992,변경,43
993,하다,43
994,불리,43
995,한지,43
996,이름,43
997,무료,43
998,주고,43
999,시원하고,43
1000,주심,43
1001,적어,43
1002,든든하게,43
1003,먹엇어,43
1004,부위,43
1005,좋을,43
1006,로제,43
1007,리지,42
1008,싶어서,42
1009,따뜻해서,42
1010,연속,42
1011,그렇고,42
1012,해봤는데,42
1013,불맛,42
1014,번은,42
1015,했었는데,42
1016,힘내세요,42
1017,볼,42
1018,감사했습니다,42
1019,최근,42
1020,생각나면,42
1021,추운,42
1022,아무리,42
1023,식어,42
1024,기억,42
1025,그런,42
1026,저렴하고,42
1027,주소,42
1028,토마토,42
1029,픽업,42
1030,날개,42
1031,컵밥,42
1032,겉,41
1033,아님,41
1034,짜지,41
1035,빼곤,41
1036,주셨네요,41
1037,어머니,41
1038,인지,41
1039,깨끗하고,41
1040,딱딱하고,41
1041,하셔서,41
1042,있지만,41
1043,아쉽습니다,41
1044,물냉면,41
1045,촉,41
1046,그래요,41
1047,환불,41
1048,모르겠지만,41
1049,속이,41
1050,제품,41
1051,껍데기,41
1052,뿌링,41
1053,정신없이,40
1054,있었지만,40
1055,달콤,40
1056,비냉,40
1057,먹으니까,40
1058,적게,40
1059,넉넉하게,40
1060,하시네요,40
1061,드셔,40
1062,없어,40
1063,죄송합니다,40
1064,금액,40
1065,겉바,40
1066,냠냠,40
1067,지도,40
1068,왓,40
1069,막,40
1070,마니,39
1071,체크,39
1072,바싹,39
1073,맛있네,39
1074,구리,39
1075,만들어,39
1076,버렸습니다,39
1077,오래된,39
1078,시킴,39
1079,뜨겁게,39
1080,걸린다고,39
1081,처리,39
1082,어니언,39
1083,피클,39
1084,콰트로,39
1085,튀도,39
1086,전반,38
1087,신선하고,38
1088,커서,38
1089,짰어요,38
1090,부담,38
1091,채,38
1092,머리카락,38
1093,마지막,38
1094,해결,38
1095,도전,38
1096,튀겨서,38
1097,덕,38
1098,좋구요,38
1099,개선,38
1100,너무나,38
1101,짠단,38
1102,아직,38
1103,상당히,38
1104,뭘,38
1105,루,38
1106,사리,38
1107,빠르고요,37
1108,그랬어요,37
1109,시킨건데,37
1110,시켰을,37
1111,이네요,37
1112,평타,37
1113,랩,37
1114,탄,37
1115,치,37
1116,많은데,37
1117,만족해요,37
1118,딱딱해서,37
1119,당연히,37
1120,맛있더라고요,37
1121,확실히,37
1122,넉넉하고,37
1123,기고,37
1124,웃,37
1125,봅니다,37
1126,코,37
1127,괜찮았습니다,37
1128,뜨거운,37
1129,받은,37
1130,되어서,37
1131,흑,37
1132,부탁드립니다,37
1133,포테이토,37
1134,안되서,36
1135,회사,36
1136,중식,36
1137,깐,36
1138,풍,36
1139,깔끔한,36
1140,생각나는,36
1141,거기,36
1142,먹었어여,36
1143,추워서,36
1144,시작,36
1145,먹는게,36
1146,코로나,36
1147,정신,36
1148,남편,36
1149,먹지만,36
1150,먹긴,36
1151,히,36
1152,야들야들,36
