,word,frequency
623,단계,150
624,맛있지만,149
625,마음,149
626,시키면,148
627,가서,148
628,먹을만,148
629,부모님,148
630,괜찮네요,148
631,먹고싶을,148
632,갈비,148
633,해주세요,147
634,진심,147
635,생각나면,147
636,오뎅,147
637,속도,145
638,잇고,145
639,해도,145
640,조리,145
641,나용,144
642,맛있는거,144
643,찍어서,143
644,이해,143
645,맛있네용,143
646,커피,143
647,보,142
648,최,142
649,기도,142
650,시키는데,142
651,밤,142
652,마시,142
653,짜,141
654,제육,141
655,비도,141
656,받은,141
657,샐러드,141
658,있어,140
659,좋았고,140
660,빼고,140
661,곱빼기,139
662,좋음,139
663,두,139
664,편이,139
665,계란,139
666,걱정,139
667,햇,138
668,따,138
669,않는,138
670,먹고싶어서,137
671,했더니,137
672,얼음,137
673,하루,136
674,눈,136
675,괜찮았어요,136
676,주셨어요,136
677,따듯,136
678,취향,136
679,맘,136
680,맛있었어용,136
681,족장,136
682,켯,135
683,땡겨서,135
684,패티,135
685,않게,134
686,나중,134
687,아쉽지만,134
688,정시,134
689,골드,134
690,행사,134
691,친절하게,133
692,불리,133
693,잘먹엇어,133
694,없습니다,133
695,드렸는데,133
696,짐해,133
697,중독,133
698,당황,133
699,쌈,133
700,연락,133
701,쟁반,132
702,볶음,132
703,부추,132
704,땡길,132
705,될,132
706,맥날,132
707,먹을수,131
708,받고,131
709,싶어서,131
710,먹을거,131
711,넘게,131
712,괜찮고,130
713,찐,130
714,전혀,130
715,구로,130
716,곱니다,129
717,해물,129
718,넉넉하고,129
719,참고,129
720,은,129
721,직원,129
722,늦었지만,129
723,자극,128
724,대신,128
725,아쉬웠습니다,128
726,좋아해요,128
727,일반,127
728,깜짝,127
729,안주,127
730,이서,127
731,맥,127
732,로제,127
733,불맛,126
734,모든,126
735,소금,126
736,미리,126
737,문,125
738,잇어용,125
739,젓가락,125
740,물냉면,125
741,콤보,125
742,인정,124
743,잇습니다,124
744,맛있구요,124
745,간도,124
746,솔직히,124
747,하기,124
748,식감,124
749,늦어서,124
750,두툼,124
751,드려요,123
752,넉넉히,123
753,있었습니다,123
754,먹으니까,123
755,함박,123
756,많구,122
757,시원하고,122
758,돼지,122
759,물,121
760,않네요,121
761,먹어야,120
762,뜨,120
763,같아서,120
764,왕,120
765,찹쌀,119
766,먹었던,119
767,시켜도,119
768,써요,119
769,스,119
770,통닭,119
771,껍질,118
772,해봤는데,117
773,봤어요,117
774,먹으려고,117
775,좀더,117
776,적,117
777,육개장,117
778,매일,116
779,누락,116
780,크고,116
781,넣어,116
782,보내주셔서,116
783,이틀,116
784,오는,116
785,걸려서,116
786,생선,116
787,바,115
788,크림,115
789,맥주,115
790,위,115
791,엄마,114
792,런가,114
793,욥,114
794,갑자기,114
795,않아,114
796,있었는데,114
797,가요,114
798,많았어요,114
799,자꾸,114
800,쫄면,114
801,아쉬웠지만,113
802,면도,112
803,이었는데,112
804,정착,112
805,아쉬운,112
806,아쉽,112
807,많아,112
808,료,112
809,속,112
810,야들야들,112
811,않은,111
812,친절하세요,111
813,박스,111
814,정신없이,111
815,호,111
816,닭발,111
817,적은,110
818,더욱,110
819,꼬치,110
820,날치,110
821,올리브,110
822,잡채,109
823,둘이서,109
824,가슴,109
825,고구마,108
826,스타일,108
827,기,108
828,굉장히,108
829,몇번,108
830,늦었네요,107
831,들어,106
832,벨,106
833,아아,106
834,호점,106
835,간,105
836,짜고,105
837,끝,105
838,좋았는데,105
839,돼서,105
840,잡내,105
841,끈,105
842,좋을,105
843,상추,105
844,넉넉하게,104
845,요리,104
846,식,104
847,차이나,104
848,겁나,103
849,없음,103
850,빼고는,103
851,해주시,103
852,천원,103
853,많습니다,102
854,깜박,102
855,중식,102
856,첫,102
857,이사,102
858,시키고,102
859,용기,102
860,싶네요,102
861,당연히,102
862,나쁘지,102
863,크,102
864,참치,102
865,치즈스틱,102
866,같아,101
867,글,101
868,비빔밥,101
869,건가,101
870,작은,100
871,적어서,100
872,움,100
873,보면,100
874,도전,100
875,아닌,100
876,생각나는,100
877,왔지만,100
878,였는데,100
879,고생,100
880,많은데,100
881,롤,100
882,컵밥,100
883,손,99
884,드셔,99
885,두고,99
886,좋겠습니다,99
887,고소하고,99
888,유,99
889,받아,99
890,혜자,98
891,부탁드렸는데,98
892,먹지만,98
893,따뜻한,98
894,리지,98
895,부탁드려요,97
896,적어요,97
897,수준,97
898,버렸네요,97
899,기요,97
900,써,96
901,보세요,96
902,주,96
903,찍,96
904,최근,96
905,취소,96
906,같고,96
907,비냉,96
908,했고,95
909,너무나,95
910,하다가,95
911,남편,95
912,연속,95
913,그거,95
914,술,95
915,부탁,95
916,김말이,95
917,미니,94
918,채소,94
919,찍었는데,94
920,시키지,94
921,종류,94
922,쫌,94
923,해야,94
924,맛있구,93
925,가득,93
926,왔구요,93
927,어요,93
928,빠르구,93
929,업,93
930,쵝오,93
931,써주세요,92
932,양배추,92
933,부탁드립니다,92
934,놓고,92
935,죄송합니다,92
936,먹었고,92
937,그것,92
938,하시고,92
939,절대,92
940,차이,92
941,아빠,92
942,센스,92
943,김치전,92
944,없어,91
945,암튼,91
946,챙겨주셔서,91
947,윙,91
948,든든하게,90
949,바닥,90
950,저렴하고,90
951,주셨네요,90
952,집은,90
953,버렸어요,90
954,비계,90
955,허니,90
956,있음,90
957,닭볶음탕,90
958,아는,90
959,헤븐,90
960,있었지만,89
961,짐하네요,89
962,좋구요,89
963,있게,89
964,이름,89
965,맛남,89
966,걍,89
967,그렇게,88
968,짜지,88
969,번은,88
970,먹어야겠어요,88
971,염,88
972,벌써,88
973,이미,88
974,살코기,88
975,깔끔한,87
976,주세요,87
977,친절,87
978,기억,87
979,좋겠네요,87
980,시켰습니다,87
981,먹엇어,87
982,맵기,87
983,완료,86
984,필요,86
985,잡내도,86
986,먹으려,86
987,만족스럽습니다,86
988,덕,86
989,새해,86
990,잇게잘,86
991,흡입,85
992,복,85
993,막,85
994,오네요,85
995,황금,85
996,건더기,85
997,쫄깃쫄깃,85
998,하셔서,85
999,점점,85
1000,않았어요,85
1001,촉촉하고,85
1002,준비,85
1003,식지,85
1004,됩니다,85
1005,불족,85
1006,그런,85
1007,잇어서,84
1008,맛있더라고요,84
1009,점심시간,84
1010,나눠,84
1011,없었어요,84
1012,뒤,84
1013,엇습,84
1014,새로,84
1015,와요,84
1016,남은,84
1017,삼겹,84
1018,상하이,84
1019,참잘,84
1020,빨랐습니다,83
1021,식은,83
1022,장사,83
1023,부담,83
1024,정신,83
1025,즐겨,83
1026,옹,83
1027,모르겠지만,83
1028,있지만,82
1029,아예,82
1030,잇,82
1031,확실히,82
1032,우,82
1033,오오오,82
1034,있으면,82
1035,비빔냉면,82
1036,먼저,81
1037,싹,81
1038,밍밍,81
1039,짜요,81
1040,사실,81
1041,마지막,81
1042,자장면,80
1043,피,80
1044,겉,80
1045,해주셨어요,80
1046,고객,80
1047,응대,80
1048,주고,80
1049,인생,80
1050,봉투,80
1051,정성,80
1052,구리,80
1053,널,80
1054,흑,80
1055,도우,80
1056,벚꽃,80
1057,모닝,80
1058,먹는거,79
1059,빠르구요,79
1060,모르고,79
1061,얼,79
1062,환불,79
1063,내일,79
1064,부위,79
1065,싶어요,79
1066,갈,79
1067,괜찮은데,78
1068,음료수,78
1069,좋을것,78
1070,무료,78
1071,많음,78
1072,맛있네,78
1073,조만간,78
1074,괜찮은,78
1075,마니,78
1076,전반,78
1077,감자탕,78
1078,적네요,78
1079,삼겹살,78
1080,밑,77
1081,내용물,77
1082,빼곤,77
1083,느끼하지,77
1084,끔,77
1085,친절하셔서,77
1086,봅니다,77
1087,파,77
1088,만족해요,77
1089,커서,77
1090,주심,77
1091,햄,77
1092,말씀,77
1093,먹구,77
1094,찍는걸,77
1095,콤,77
1096,회덮밥,77
1097,역쉬,76
1098,해결,76
1099,갑니다,76
1100,고,76
1101,부드러워서,76
1102,장난,76
1103,맛있네여,76
1104,탄,76
1105,바삭바삭하고,76
1106,더블,76
1107,닝,76
1108,마싯어요,76
1109,푸딩,76
1110,마싯게,75
1111,스트레스,75
1112,지도,75
1113,세번,75
1114,찍고,75
1115,가져다,75
1116,나름,75
1117,시원하게,75
1118,대박나세요,75
1119,기적,75
1120,거기,75
1121,다시는,75
1122,성수,75
1123,호각,75
1124,시킴,74
1125,만들어,74
1126,아니네요,74
1127,풍,74
1128,추운,74
1129,뚝딱,74
1130,젠,74
1131,질리,74
1132,용이,74
1133,중국,73
1134,깨끗하고,73
1135,아닌데,73
1136,먹을듯,73
1137,아무리,73
1138,시켰을,73
1139,속이,73
1140,하다,73
1141,걸렸지만,73
1142,골고루,73
1143,쫀득,73
1144,적고,73
1145,먹었을,72
1146,신랑,72
1147,튀긴,72
1148,인지,72
1149,깔끔해요,72
1150,앱,72
1151,담백하고,72
1152,아쉽습니다,72
1153,도둑,72
1154,터지게,72
1155,했었는데,71
1156,그렇고,71
1157,진하고,71
1158,씁니다,71
1159,라면,71
1160,일품,71
1161,마세요,71
1162,먹긴,71
1163,그럭저럭,71
1164,금액,71
1165,했던,71
1166,버렸습니다,71
1167,되고,71
1168,히,71
1169,상당히,71
1170,대,71
1171,한지,71
1172,페퍼로니,71
1173,케찹,71
1174,사이다,70
1175,주는,70
1176,먹었는데도,70
1177,할거,70
1178,장,70
1179,시작,70
1180,깔,70
1181,되어서,70
1182,이네요,70
1183,아직,70
1184,부드러워요,70
1185,뻔,70
1186,와우,70
1187,짰어요,70
1188,냠냠,70
1189,라지,70
1190,함박스테이크,70
1191,튀가,70
1192,빨라,69
1193,넉넉해서,69
1194,기고,69
1195,시키게,69
1196,동생,69
1197,봣,69
1198,저렴하게,69
1199,시장,69
1200,매웠어요,69
1201,프레,69
1202,빅맥,69
1203,들어있어서,68
1204,상,68
1205,어머니,68
1206,뭘,68
1207,켜,68
1208,충분히,68
1209,먹었지만,68
1210,아닌가요,68
1211,먹는게,68
1212,다른건,68
1213,처리,68
1214,적게,68
1215,만해,68
1216,해주시고,67
1217,괜찮았습니다,67
1218,맛있었,67
1219,봐야겠어요,67
1220,보내,67
1221,싶었는데,67
1222,사용,67
1223,시킨건데,67
1224,변경,67
1225,보는,67
1226,뻑뻑,67
1227,픽업,67
1228,비교,67
1229,살로,67
1230,남,67
1231,아님,67
1232,보장,67
1233,버섯,67
1234,깍두기,67
1235,익스,67
1236,종로,67
1237,분식,67
1238,시키겠습니다,66
1239,식구,66
1240,그랬어요,66
1241,하시네요,66
1242,껍데기,66
1243,값,66
1244,아쉬움,66
1245,없는데,66
1246,적당한,66
1247,시켜야겠어요,66
1248,받자마자,66
1249,술안주,66
1250,적어,66
1251,잇음,66
1252,은근,66
1253,피스,66
1254,제품,66
1255,설렁탕,66
1256,불지,65
1257,짜서,65
1258,없을,65
1259,살얼음,65
1260,두껍고,65
1261,뜨겁게,65
1262,감사했습니다,65
1263,개선,65
1264,쪽,65
1265,찍었지만,65
1266,먹었더니,65
1267,피클,65
1268,멍,65
1269,기네스,65
1270,노랑,65
1271,딱딱하고,64
1272,해산물,64
1273,좋아여,64
1274,비닐,64
1275,겁니다,64
1276,괜찮습니다,64
1277,나와서,64
1278,맛있긴,64
1279,안되서,64
1280,다식,64
1281,결제,64
1282,맞춰,64
1283,디,64
1284,카레,64
1285,먹을거에요,64
1286,밑반찬,64
1287,어묵,64
1288,배부르고,64
1289,툼,64
1290,넣고,64
1291,양상추,64
1292,냉,63
1293,행복한,63
1294,그만큼,63
1295,지,63
1296,보내주신,63
1297,달콤,63
1298,라이더,63
1299,말랭이,63
1300,착한,63
1301,면목,63
1302,체크,62
1303,코,62
1304,환상,62
1305,훌륭합니다,62
1306,놀랐습니다,62
1307,있을,62
1308,시키세요,62
1309,코로나,62
1310,요구사항,62
1311,바싹,62
1312,싶은,62
1313,포함,62
1314,남깁니다,62
1315,찌개,62
1316,와사비,62
1317,실패,62
1318,트러플,62
