,word,frequency
641,났습니다,11
642,들어간,11
643,안오길래,11
644,바닥,11
645,식사,11
646,타서,11
647,넘어서,11
648,심해,11
649,하시네요,11
650,좋았는데,11
651,마감,11
652,같음,11
653,써,11
654,비해,11
655,랩,11
656,머,11
657,손님,11
658,하는거,11
659,그래요,11
660,적네요,11
661,시킨건데,11
662,차가운,11
663,겉,11
664,짜서,11
665,죄송합니다,11
666,하나요,11
667,탄산,11
668,날개,11
669,곱창,11
670,터져서,10
671,싼,10
672,점심시간,10
673,화,10
674,먹었던,10
675,자장면,10
676,잡채,10
677,벌레,10
678,바랍니다,10
679,배기,10
680,겁나,10
681,까요,10
682,해보니,10
683,체크,10
684,맛초킹,10
685,선,10
686,비닐,10
687,유통,10
688,기한,10
689,주세요,10
690,전달,10
691,하루,10
692,정시,10
693,부위,10
694,비추,10
695,시키고,10
696,뻔,10
697,보면,10
698,않았습니다,10
699,났어요,10
700,간장,10
701,생선,10
702,시키는,10
703,시킬듯,10
704,픽업,10
705,쉰내,10
706,색깔,10
707,하기,10
708,많은,10
709,는,10
710,않나요,10
711,중간,10
712,한다고,10
713,지나서,10
714,쪽,10
715,되지,10
716,마지막,10
717,그렇네요,10
718,있네요,10
719,왔구요,10
720,작아요,10
721,먹어요,10
722,마음,10
723,시킬것,10
724,봄,10
725,확,10
726,전화하니까,10
727,느리고,10
728,누르고,10
729,주의,10
730,스,10
731,없는데,10
732,이네요,10
733,모르겠는데,10
734,먹어서,10
735,알바,10
736,적게,10
737,하여,10
738,겁니다,10
739,제로,10
740,쫄면,10
741,양념치킨,10
742,더니,9
743,된다고,9
744,아침,9
745,바빠서,9
746,통화,9
747,찜,9
748,순간,9
749,동네,9
750,했던,9
751,맛없음,9
752,점심,9
753,않았는데,9
754,짜증나네요,9
755,밖,9
756,달아요,9
757,번은,9
758,위생,9
759,싶어서,9
760,대비,9
761,기,9
762,쫌,9
763,온거,9
764,않는,9
765,좋겠습니다,9
766,고무,9
767,턱,9
768,같아,9
769,였는데,9
770,알던,9
771,보이,9
772,실제,9
773,알았는데,9
774,하는건,9
775,받았는데,9
776,대신,9
777,비계,9
778,없었습니다,9
779,알았어요,9
780,료,9
781,같아서,9
782,들어있고,9
783,있었는데,9
784,밤,9
785,않을까요,9
786,속,9
787,받았어요,9
788,돼서,9
789,먹,9
790,제공,9
791,싶지,9
792,넣은,9
793,넣고,9
794,굳어서,9
795,어쩌,9
796,아쉬웠어요,9
797,익스,9
798,프레,9
799,모든,9
800,기다리다,9
801,이나,9
802,말투,9
803,왔음,9
804,만든,9
805,밀가루,9
806,밑,9
807,적어요,9
808,퀄리티,9
809,사이다,9
810,현관,9
811,담,9
812,주기,9
813,토마토,9
814,롯데리아,9
815,점도,9
816,닝,9
817,라이,9
818,스트레스,8
819,갑니다,8
820,두껍고,8
821,주는,8
822,끼,8
823,셧,8
824,눅눅,8
825,빠름,8
826,냉,8
827,대해,8
828,정상,8
829,초인종,8
830,하길래,8
831,피,8
832,드세요,8
833,잔뜩,8
834,넣어서,8
835,떨어지네요,8
836,들어,8
