,word,frequency,count_rate
363,건,139,0.0004022863758049345
364,좋은데,138,0.00039939222921640984
365,음료,138,0.00039939222921640984
367,먹으면,137,0.0003964980826278851
368,여전히,137,0.0003964980826278851
369,가끔,135,0.0003907097894508357
371,단,135,0.0003907097894508357
372,조각,135,0.0003907097894508357
374,시켜서,134,0.000387815642862311
375,수고,134,0.000387815642862311
376,불,134,0.000387815642862311
377,아쉬웠어요,133,0.00038492149627378626
378,최악,133,0.00038492149627378626
379,왔습니다,133,0.00038492149627378626
380,먹던,132,0.00038202734968526155
381,먹음,132,0.00038202734968526155
382,대박,132,0.00038202734968526155
384,덕분,131,0.00037913320309673683
385,젤,130,0.0003762390565082121
386,있는데,130,0.0003762390565082121
388,통,130,0.0003762390565082121
389,알,129,0.00037334490991968746
390,찜,129,0.00037334490991968746
391,확인,129,0.00037334490991968746
392,좋아하는,129,0.00037334490991968746
393,옴,129,0.00037334490991968746
394,온,129,0.00037334490991968746
395,하면,129,0.00037334490991968746
396,좋겠어요,128,0.00037045076333116274
397,같습니다,128,0.00037045076333116274
398,새벽,128,0.00037045076333116274
399,빠르네요,127,0.00036755661674263803
400,맛있어여,127,0.00036755661674263803
401,애,126,0.0003646624701541133
402,된,126,0.0003646624701541133
403,바사삭,126,0.0003646624701541133
404,인분,125,0.0003617683235655886
405,는,125,0.0003617683235655886
407,좋아해서,124,0.0003588741769770639
408,간만,124,0.0003588741769770639
409,적당히,124,0.0003588741769770639
410,맥,124,0.0003588741769770639
411,사람,123,0.00035598003038853917
412,이제,123,0.00035598003038853917
413,먹네요,122,0.00035308588380001445
414,시켜요,122,0.00035308588380001445
415,늦은,122,0.00035308588380001445
416,잘먹엇습니,121,0.00035019173721148974
417,다리,120,0.0003472975906229651
418,얼음,120,0.0003472975906229651
419,짠,119,0.00034440344403444036
421,사랑,119,0.00034440344403444036
422,돈,119,0.00034440344403444036
423,가족,119,0.00034440344403444036
424,이집,118,0.00034150929744591565
425,맛있었는데,118,0.00034150929744591565
426,개인,117,0.00033861515085739093
427,따뜻하고,117,0.00033861515085739093
428,행사,117,0.00033861515085739093
429,빠릅니다,116,0.0003357210042688662
430,땐,116,0.0003357210042688662
431,주신,116,0.0003357210042688662
432,먹었어용,115,0.0003328268576803415
433,예정,114,0.0003299327110918168
434,동네,113,0.0003270385645032921
435,별,113,0.0003270385645032921
436,친절하고,113,0.0003270385645032921
437,원,113,0.0003270385645032921
439,뭔가,112,0.00032414441791476736
440,아들,111,0.0003212502713262427
